epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,mean_io_u
0,0.9687809944152832,0.38895535469055176,0.6163820624351501,0.21512943506240845,0.0,0.10444536060094833,0.375
1,0.9812862873077393,0.40418484807014465,0.6495101451873779,0.3172273635864258,0.048750076442956924,0.06760413199663162,0.375
2,0.9848766326904297,0.3816553056240082,0.6309349536895752,0.2707589864730835,0.03741820156574249,0.057837869971990585,0.375
3,0.9739503860473633,0.3718637228012085,0.6021401882171631,0.20310759544372559,0.04192224144935608,0.11158610880374908,0.375
4,0.9719049334526062,0.38513410091400146,0.6088342666625977,0.23867562413215637,0.05795964598655701,0.10971426963806152,0.375
5,0.9702618718147278,0.39197614789009094,0.6027626395225525,0.2697809040546417,0.06516771763563156,0.10996904969215393,0.375
6,0.971145510673523,0.39955779910087585,0.6020026803016663,0.29682764410972595,0.07790136337280273,0.1023489385843277,0.375
7,0.9722176790237427,0.4042339026927948,0.6023136973381042,0.31354400515556335,0.08522900193929672,0.09627120941877365,0.375
8,0.9735119938850403,0.4081781506538391,0.6113698482513428,0.3197166919708252,0.09641118347644806,0.09165021777153015,0.375
9,0.9736129641532898,0.4121971130371094,0.610839307308197,0.33314189314842224,0.10352770239114761,0.08850377798080444,0.375
10,0.9728965759277344,0.4125872552394867,0.6116457581520081,0.32973092794418335,0.10892868787050247,0.0898643508553505,0.375
11,0.969771683216095,0.4104137122631073,0.6065552234649658,0.3211556375026703,0.10764157027006149,0.09578331559896469,0.375
12,0.9711183905601501,0.4120132625102997,0.6135505437850952,0.322436660528183,0.11208321154117584,0.09220341593027115,0.375
13,0.970753014087677,0.41395801305770874,0.6147344708442688,0.3266366422176361,0.11614031344652176,0.0920652523636818,0.375
14,0.9697461724281311,0.4120016396045685,0.5919086933135986,0.33107835054397583,0.11923690140247345,0.0931520015001297,0.375
15,0.9708256125450134,0.4118439555168152,0.595626175403595,0.3304847478866577,0.12081995606422424,0.09041382372379303,0.375
16,0.9720268249511719,0.4078790545463562,0.5947970747947693,0.3259356617927551,0.11372881382703781,0.08754724264144897,0.375
17,0.9701904654502869,0.4056988060474396,0.5941511988639832,0.3078281283378601,0.11262381076812744,0.09425824135541916,0.375
18,0.9683958292007446,0.40306052565574646,0.5846971869468689,0.30276885628700256,0.11123771220445633,0.10243290662765503,0.375
19,0.9696051478385925,0.4026411473751068,0.5835065245628357,0.31193238496780396,0.10883396863937378,0.09881231933832169,0.375
20,0.9693477153778076,0.4050745368003845,0.5839157104492188,0.3189232349395752,0.11133432388305664,0.09778068214654922,0.375
21,0.9667015075683594,0.4039067327976227,0.5816690921783447,0.3125632107257843,0.10764148831367493,0.10950862616300583,0.375
22,0.9675153493881226,0.4056645333766937,0.5850088000297546,0.3182407021522522,0.11125679314136505,0.10675941407680511,0.375
23,0.9644196033477783,0.4051578938961029,0.5789459347724915,0.31748098134994507,0.10905527323484421,0.11314657330513,0.375
24,0.9655081033706665,0.40568265318870544,0.5832987427711487,0.32111799716949463,0.10494136065244675,0.11005831509828568,0.375
25,0.966366708278656,0.40608593821525574,0.583082377910614,0.32742834091186523,0.10470271855592728,0.1073884442448616,0.375
26,0.9671916365623474,0.4046999216079712,0.5843303799629211,0.3246343433856964,0.10184212774038315,0.1053682193160057,0.375
27,0.9671467542648315,0.4055449962615967,0.5850738286972046,0.327226847410202,0.1039390042424202,0.10531090199947357,0.375
28,0.9676399230957031,0.40644481778144836,0.5884900093078613,0.32672736048698425,0.10566297918558121,0.10390075296163559,0.375
29,0.9678946733474731,0.4058891236782074,0.5870782732963562,0.3274482786655426,0.10434629768133163,0.1039794534444809,0.375
30,0.9678269028663635,0.40162163972854614,0.5724485516548157,0.32225126028060913,0.10100254416465759,0.10440465062856674,0.375
31,0.9679771661758423,0.3971109092235565,0.5570509433746338,0.3131622076034546,0.09784621745347977,0.10432305186986923,0.375
32,0.9686155915260315,0.39517053961753845,0.5572652220726013,0.30929064750671387,0.09488117694854736,0.10253237932920456,0.375
33,0.9690591096878052,0.39612460136413574,0.5583667755126953,0.31408393383026123,0.09620612859725952,0.10092978179454803,0.375
